x1,x2
-0.187,0.747
2.824,0.377
0.713,0.766
1.635,1.846
2.711,1.996
0.456,0.592
0.564,0.969
1.86,1.812
-0.05,0.755
1.68,1.087
0.902,1.35
0.708,0.993
1.19,1.726
-0.143,1.287
-1.932,-2.018
1.297,0.519
-0.173,1.022
0.822,2.264
0.4,1.207
2.204,0.826
0.525,0.744
0.701,0.942
1.556,0.623
1.144,1.195
0.202,1.772
1.431,0.981
2.18,0.096
2.359,0.991
2.292,0.98
0.422,1.892
0.557,1.4
0.951,1.225
0.135,1.648
0.856,1.218
1.898,1.818
0.676,0.222
-0.062,-0.903
0.061,0.629
0.562,0.91
1.682,1.427
-0.185,-0.712
-1.309,-1.89
-1.095,-2.306
0.369,0.521
-1.228,-1.346
-1.746,-1.868
1.526,0.949
-1.014,0.144
-1.398,-0.09
-0.418,-0.362
-0.993,-2.258
-0.525,-0.897
-0.265,-0.324
-2.048,-1.228
-0.565,-1.016
0.949,0.06
-0.847,-1.409
-0.215,-0.161
0.339,-0.545
1.863,1.799
0.596,0.921
0.734,0.138
-0.365,0.603
1.902,1.448
1.155,0.739
1.969,1.346
1.859,1.83
1.321,0.187
-1.434,-1.908
0.849,0.338
0.193,0.211
0.79,1.18
1.44,1.859
0.181,0.771
1.464,1.867
0.518,1.005
1.622,0.824
1.282,0.83
-1.371,-2.468
-1.332,-1.805
-0.301,-0.815
-0.546,-1.417
-0.992,2.02
-1.525,-0.49
-1.656,-2.223
-0.823,-0.781
-0.256,-0.738
-0.483,-0.096
-0.801,-0.536
-0.765,-0.702
-1.423,-1.843
-0.6,-0.686
-1.76,-0.851
-0.596,-0.018
-1.583,-1.234
-1.333,-1.814
0.903,-0.055
0.221,0.926
-1.727,-1.149
-1.212,-0.82
0.628,1.473
-0.21,0.831
1.767,0.546
2.252,-0.016
1.331,1.413
-0.534,0.596
-1.514,-1.854
1.02,0.593
0.444,0.718
0.809,1.081
0.48,1.697
-1.145,-1.29
1.488,1.332
0.532,1.222
-0.211,0.54
-0.213,0.563
0.7,1.417
-0.318,1.073
0.416,-0.271
0.475,1.54
-0.098,0.134
2.731,2.092
1.831,0.673
-1.058,-0.724
0.196,-0.251
1.883,1.68
0.915,0.766
-0.064,0.622
0.599,0.956
0.328,1.476
1.432,1.173
0.815,1.585
1.813,1.094
0.934,1.862
0.731,0.112
2.698,1.891
1.517,1.288
-0.436,1.024
2.016,1.251
0.531,1.912
0.385,1.515
1.832,1.708
0.35,0.448
-0.534,-0.59
0.987,1.691
1.905,1.115
2.044,0.804
0.257,0.425
1.913,0.963
1.005,1.79
2.155,0.738
-0.717,0.655
1.24,1.415
0.904,0.987
0.644,1.457
0.311,1.232
1.09,1.071
0.49,0.537
0.464,0.396
-0.44,0.404
0.317,0.599
-1.512,-1.483
2.253,1.14
1.298,0.767
0.365,0.946
1.074,1.699
0.874,1.647
0.743,0.495
0.716,1.309
1.677,2.278
1.302,1.047
1.84,0.67
2.557,1.43
0.485,1.303
0.417,1.028
1.299,0.636
0.32,1.361
-0.505,0.809
-0.716,0.118
1.764,0.774
0.886,0.556
1.011,1.212
1.114,1.082
-0.077,0.362
2.052,1.399
-0.392,-0.942
0.846,1.435
1.86,1.226
0.485,0.576
1.625,1.602
2.123,1.615
1.736,1.802
2.182,1.88
1.04,1.446
0.797,1.464
1.508,1.515
1.413,0.956
-0.261,0.488
2.655,0.794
2.404,1.603
1.223,0.906
-1.076,-0.568
-1.247,-1.7
-0.943,-3.35
-1.369,-1.248
0.805,1.492
-1.025,-0.535
-1.025,-0.811
2.824,1.692
-0.628,0.254
-0.68,0.102
-0.899,-0.888
-0.09,-0.335
-1.153,-2.056
-0.906,0.589
-1.356,-1.408
-2.144,-2.256
-0.731,-1.422
-1.554,-0.996
0.873,-0.017
-1.726,-1.457
-0.801,-1.487
-0.9,-0.676
-0.549,-0.801
-2.208,-2.131
-0.722,0.887
0.316,0.802
-1.184,-1.174
-1.294,-0.485
0.897,1.042
-0.057,0.7
-1.673,-2.627
-0.453,0.104
-1.967,0.724
-1.228,-0.739
1.181,0.867
-0.077,-0.078
-1.136,-0.145
-1.452,-1.159
-0.867,-0.003
0.473,1.032
-1.149,-1.386
-0.519,-0.996
-1.689,-1.03
-2.116,-3.295
1.142,1.096
-0.406,-0.732
-1.319,-0.805
-1.805,-1.108
-1.43,-1.093
-1.203,-0.852
0.557,0.468
-0.467,-0.35
-1.272,-1.706
-1.547,-1.951
-0.141,-0.031
-1.221,-1.262
-0.997,-0.241
-0.525,-0.267
-1.846,-0.852
0.573,1.606
0.949,1.158
0.95,0.372
-0.632,-0.288
0.517,0.618
-0.792,0.3
1.523,1.123
-0.617,-0.871
-0.455,1.15
0.177,0.946
1.815,1.801
1.567,0.571
-0.05,1.035
2.458,0.396
1.679,2.544
1.638,0.78
1.085,-0.005
0.602,1.271
0.52,0.838
0.968,1.592
0.725,0.593
0.762,1.427
0.44,0.277
2.114,1.402
0.362,1.106
1.683,1.319
-0.187,1.08
0.255,1.266
0.583,0.744
2.302,1.591
-1.093,-0.59
0.358,0.688
-0.402,1.448
-0.505,0.675
0.142,1.181
-0.37,-1.204
1.638,0.859
-0.995,-1.496
-0.672,-1.435
2.149,1.668
-0.17,-0.714
1.74,0.555
-1.157,-0.149
-0.444,1.656
-1.757,-2.124
-1.64,-0.88
-1.565,-2.378
-1.144,-2.218
-1.332,0.566
-0.086,-0.159
-1.232,-0.174
-1.571,-2.116
-1.013,-0.964
-0.561,-0.247
0.424,0.388
-1.303,0.208
-1.463,-1.419
-1.473,-1.4
0.126,0.746
-1.373,-0.308
-1.491,-1.873
-1.517,-1.528
-1.034,-1.423
-0.05,0.631
-1.751,-1.859
-1.412,-2.62
-1.457,-1.817
-1.36,-1.796
-1.829,-0.932
-1.375,-0.263
-1.2,-0.516
-1.579,-1.882
-2.221,-2.028
0.177,0.517
-0.026,0.05
-1.277,-1.589
-0.028,0.59
1.339,1.907
-1.186,-2.24
-0.276,-0.796
2.61,1.938
0.231,0.503
2.025,1.198
1.345,2.075
-1.041,-0.351
1.498,0.643
0.3,1.63
0.922,2.148
-0.72,0.096
1.161,0.065
0.71,1.236
1.482,1.754
1.32,0.768
0.387,0.948
0.029,1.267
1.372,1.34
0.613,0.798
0.588,1.863
0.066,0.718
0.712,0.859
1.504,0.691
-0.578,0.993
1.138,1.312
0.482,1.175
2.28,0.876
0.952,0.93
1.784,0.999
-0.378,1.339
1.773,1.544
2.106,1.412
1.581,2.059
0.313,-0.877
1.766,1.451
0.133,1.401
1.557,1.294
0.745,0.729
2.622,0.956
1.729,1.471
0.388,0.15
0.395,1.335
1.245,0.719
1.875,1.164
-0.414,0.881
0.449,-0.437
0.14,1.216
0.337,0.172
0.615,1.084
2.374,1.646
1.759,1.211
-2.189,-2.729
1.403,1.553
1.562,0.634
1.383,0.603
-0.108,0.823
0.965,0.858
0.335,0.233
1.57,1.74
0.656,0.786
2.095,1.218
0.121,1.461
-2.117,-1.86
-0.151,-0.207
-1.223,-0.679
2.183,0.861
-1.344,-1.733
-1.428,-1.878
-0.647,-0.555
-1.183,-1.435
-2.447,-2.718
-2.538,-2.814
-0.267,-1.388
-0.482,-0.622
-0.589,-0.096
-1.579,-2.151
0.768,1.32
-1.015,-0.637
-1.096,-0.395
-0.35,-0.477
-1.27,-1.415
-0.088,0.014
-1.33,-1.197
-0.251,1.059
0.963,0.533
2.156,0.179
0.474,0.65
0.728,1.192
1.491,0.775
1.665,1.348
1.112,1.111
1.117,1.748
0.946,1.123
1.125,0.322
1.429,0.433
1.538,1.181
0.788,0.977
0.662,0.363
2.211,1.22
1.572,1.83
0.819,1.313
2.091,1.612
1.328,0.059
-0.253,0.63
1.622,0.915
1.459,0.501
0.659,1.407
-0.824,-1.023
0.934,1.499
-0.124,1.555
-1.125,-1.285
-0.812,0.423
0.277,1.525
0.486,0.723
1.097,1.433
-0.132,1.094
2.736,3.031
0.335,1.617
0.481,0.575
-0.922,-1.13
-0.033,0.403
-0.047,0.642
-0.302,0.994
-1.451,-1.536
-0.235,0.01
-1.148,-1.385
-0.688,-0.79
-1.543,-0.796
-1.246,-1.885
-1.419,-1.068
-0.893,-0.547
-1.063,-0.412
-1.46,-1.945
-0.568,0.669
-1.191,-1.417
-0.273,0.426
-1.272,-2.131
0.639,0.822
1.592,1.268
1.752,0.766
-1.884,-1.501
-0.628,-0.872
-0.873,-0.585
0.152,1.247
0.965,1.075
0.685,0.52
0.092,0.453
-0.281,1.242
0.514,0.313
1.887,-0.15
2.024,2.278
1.319,1.058
-1.326,-1.57
1.599,0.195
1.533,0.877
2.597,1.451
-0.808,-1.18
2.427,0.966
3.09,1.039
1.188,0.988
1.442,1.582
0.991,0.895
-0.492,-1.016
-0.346,-0.149
-1.258,-1.696
0.664,0.115
-0.77,-0.425
-0.573,-0.764
2.717,0.698
-1.315,0.775
-0.632,-0.596
-0.42,-0.638
-1.741,-2.162
-0.879,0.223
0.844,0.903
-0.644,-0.193
0.052,0.132
-1.606,-1.841
-1.278,-1.433
0.519,0.506
-1.132,-2.419
0.061,-0.626
-0.88,-0.608
-0.104,0.209
-0.304,0.33
-0.266,-0.915
-0.586,0.296
-0.701,-0.893
-1.455,-2.094
-0.747,-0.18
-1.546,-1.986
-0.986,-1.269
0.371,1.277
-0.949,0.588
-0.478,-1.063
-0.86,-1.85
-1.382,-1.101
-0.439,-1.38
-0.738,0.488
-1.037,0.035
-1.801,-2.948
-0.883,-1.312
-1.557,-1.667
-0.635,-1.203
-1.38,-2.095
-1.28,-3.374
-0.904,-0.662
-0.971,-0.517
-0.995,-0.317
-1.497,-1.981
-0.666,-0.906
0.939,-0.703
-1.417,-2.091
-0.875,-0.78
-0.483,-1.61
-0.978,-0.968
-0.434,-1.16
0.709,1.391
-1.199,-0.639
2.929,2.054
-2.103,-2.37
0.13,0.445
0.251,0.135
0.94,0.682
0.896,0.759
2.363,2.292
0.408,1.248
-0.867,0.748
1.132,1.015
3.357,1.514
1.594,0.901
0.649,1.4
1.845,0.504
1.412,1.303
1.26,0.992
0.597,1.616
1.203,1.656
1.434,1.123
1.214,0.894
1.507,1.715
-0.893,-1.775
1.255,0.756
-1.857,-2.568
-0.941,-1.65
-0.694,-0.028
-1.019,-2.401
-1.362,0.044
0.66,0.966
-1.132,-0.621
-1.804,-3.099
-1.259,-1.85
-0.331,-0.146
-2.46,-1.629
-2.219,-3.086
-0.01,1.385
0.279,1.024
-0.899,-2.38
-1.099,0.044
-1.125,-1.059
-1.545,-1.876
1.56,-0.08
-1.011,-0.538
2.289,1.461
1.292,0.574
1.33,0.237
1.373,1.072
3.504,1.451
1.162,1.155
0.409,0.183
1.639,1.575
0.977,1.383
0.88,0.817
2.303,1.029
0.758,0.582
-0.517,1.118
1.027,0.948
1.343,2.522
0.495,0.666
0.774,1.255
1.146,2.38
1.926,1.233
1.835,0.598
0.275,0.876
2.78,1.489
-2.113,-0.64
0.399,1.308
0.55,1.079
1.009,1.123
1.369,0.75
0.811,1.17
2.184,1.259
1.711,0.985
1.299,0.519
-0.193,0.286
1.1,0.21
-1.236,0.333
1.473,0.945
1.608,0.467
0.854,0.833
0.68,0.356
1.173,0.949
-0.127,0.994
1.887,1.799
1.408,1.674
0.41,0.763
0.965,0.989
0.136,0.924
0.783,0.846
2.097,1.709
0.235,0.372
2.349,1.381
0.622,1.759
1.203,1.503
0.178,0.599
1.816,-0.02
-1.327,-1.7
-1.536,-1.919
1.621,1.83
1.621,1.758
-0.488,0.567
1.702,1.015
1.467,1.201
-1.695,-1.85
-0.247,-1.407
-1.555,-0.458
0.43,0.735
1.749,1.207
-0.736,-0.667
-0.663,-0.476
-0.815,-0.309
-1.349,-2.17
-0.783,-0.214
-1.244,-1.805
-0.934,-1.16
1.07,1.595
-1.869,-1.44
0.723,0.682
-1.331,-0.797
-0.701,-0.068
0.108,0.39
-0.748,-1.421
-1.117,-1.077
-1.156,1.58
2.501,0.475
1.308,1.919
0.632,1.019
0.759,-0.137
1.981,0.196
0.603,0.28
1.974,1.396
0.911,0.216
1.574,1.979
1.963,1.105
1.171,0.156
-1.109,0.107
1.608,0.742
1.68,1.614
-1.823,-1.957
0.372,0.993
1.127,1.173
-0.097,1.186
-0.837,-0.159
-2.063,-1.063
-2.816,-3.01
-0.034,0.076
1.619,0.815
-0.573,-0.563
-1.972,-1.294
-1.044,0.091
-2.025,-2.531
-0.96,-0.143
1.791,1.299
-1.495,-1.622
-0.625,-0.154
-1.157,-1.827
-0.264,0.184
-1.191,-0.686
-0.493,0.165
0.27,1.736
-1.005,-1.302
-1.032,-0.804
-1.136,-0.399
1.278,0.209
0.924,1.491
0.678,0.713
-0.854,0.315
1.35,1.82
-0.918,-0.665
1.364,0.983
2.12,1.773
-0.09,1.438
-0.221,1.302
1.194,0.565
2.271,0.601
1.003,1.173
1.015,1.307
1.569,0.63
0.293,1.237
1.215,1.312
-0.239,0.523
2.541,0.918
1.957,1.479
-1.528,-2.415
-0.658,-1.396
-1.17,-1.296
-1.529,-1.008
-0.622,0.159
-0.184,-0.552
1.287,1.015
-0.648,-0.544
-0.43,-0.491
-0.89,-0.826
-1.28,-1.255
-1.021,-0.451
0.058,0.777
-1.755,-1.789
-2.189,-2.485
0.215,0.82
-1.256,-1.002
-1.542,-0.778
-1.563,-0.823
0.56,0.907
-0.728,-0.427
-0.854,-2.31
-1.438,-0.973
-1.901,-2.122
-0.389,-0.516
-1.68,-1.135
-1.441,-0.932
-1.422,-0.674
0.862,0.554
-1.544,-0.293
-0.755,-1.438
-1.601,-1.193
-1.132,-1.228
-0.307,0.556
-1.379,-2.346
-0.246,-0.322
1.881,0.658
-0.797,0.373
0.499,1.758
-2.761,-1.969
1.233,0.75
1.79,0.867
0.14,0.386
-0.455,0.848
0.087,0.204
2.892,1.44
0.675,1.3
0.629,0.418
-0.536,-1.65
1.051,1.179
1.323,1.201
1.23,1.102
0.795,1.104
-1.284,-0.779
0.274,1.04
0.811,1.666
1.008,0.165
-1.735,-2.124
2.096,1.774
1.916,0.591
-1.91,-1.69
0.202,-1.016
-1.533,-1.946
-1.373,-1.949
-0.875,-1.036
-0.59,0.495
-0.718,-1.228
0.974,0.645
-0.984,-2.241
-0.765,-0.984
-2.067,-2.419
-0.87,-0.432
-1.781,-0.88
-0.162,-0.921
0.613,0.801
-1.413,-0.235
0.764,0.912
-0.835,-0.589
-1.778,-0.351
-1.172,-1.493
1.094,1.05
1.551,1.165
0.69,0.116
0.362,0.216
0.615,2.801
1.277,0.774
1.653,1.452
0.226,0.879
0.614,0.698
0.513,0.617
-1.182,-2.494
1.404,0.131
-0.965,-1.452
1.252,1.475
2.224,0.871
1.48,1.982
1.065,0.533
0.022,0.35
0.228,1.417
0.241,-0.711
1.942,1.558
0.475,0.03
0.975,0.739
0.296,1.167
2.33,0.836
1.124,1.745
0.721,0.364
1.668,1.05
1.433,1.491
0.837,1.277
0.599,0.208
0.38,0.043
0.971,1.013
-0.216,0.497
1.616,1.062
1.324,1.473
-1.28,-1.395
-0.115,1.095
1.363,0.111
0.558,1.38
-0.749,-1.522
-1.061,-1.162
0.953,1.051
0.558,0.852
-1.36,-0.957
-0.747,-0.668
-1.356,-0.68
-0.638,0.037
-0.322,-1.495
-1.201,-1.053
-1.582,-1.742
-0.165,-0.442
-0.525,-1.638
-0.262,-1.038
-0.784,-0.359
-0.258,-1.022
-0.961,0.196
3.293,1.852
-0.767,-0.298
-1.317,-1.127
0.635,0.751
1.738,1.334
1.585,0.813
1.249,0.842
0.399,-0.543
-1.389,-0.999
0.282,-0.171
1.925,0.965
0.439,0.994
1.601,0.288
2.182,1.264
-0.252,1.215
1.678,0.954
0.926,1.055
2.238,1.245
0.651,0.256
0.321,0.351
0.971,1.513
1.959,0.991
-1.315,-0.866
-1.534,-0.217
0.21,-0.317
-0.242,-1.212
-0.106,0.082
-1.306,-0.853
-0.865,-1.598
-0.567,0.204
-1.556,-0.597
-0.301,-0.132
-1.235,-1.504
-1.432,-0.355
-1.132,-0.25
0.496,1.581
-1.687,-0.707
0.38,-0.064
0.184,0.697
1.107,0.63
-2.474,-1.682
-0.591,-0.522
0.037,0.58
1.439,0.841
1.665,1.175
1.7,1.064
-1.764,-3.05
-1.322,0.206
0.953,0.835
-1.416,-1.99
0.635,1.251
-1.046,-2.126
1.968,0.815
-1.033,-1.129
1.676,1.902
0.545,1.384
0.059,1.02
2.251,1.96
1.25,1.167
0.877,0.305
0.295,0.153
2.48,1.292
0.644,1.163
0.839,0.973
-0.228,-0.993
-1.553,-1.077
0.198,0.817
-1.721,-2.312
-0.058,-0.525
-0.958,-0.936
-1.459,-2.109
-1.433,-2.247
-0.612,-1.666
-0.92,-1.239
-1.406,-1.601
-1.499,-1.942
-0.475,-0.312
1.657,0.74
-0.376,-1.333
0.346,0.993
-0.951,-1.032
-0.772,-1.798
-1.012,-1.324
2.08,0.463
1.374,1.335
-0.335,0.135
2.563,0.461
0.49,1.365
1.075,0.911
-0.039,1.759
1.041,0.831
0.631,0.969
2.209,1.25
1.385,0.087
-0.094,0.373
-1.891,-1.577
-2.52,-1.332
0.785,1.642
0.969,1.151
1.109,0.503
2.11,-0.01
-0.803,-1.465
-1.459,-0.778
-0.848,-0.06
-1.841,-0.479
-1.618,-0.005
2.465,1.516
0.062,1.159
-1.513,0.699
-1.784,-2.442
-0.351,-1.648
0.172,1.615
-1.466,-1.103
-0.79,-1.465
0.774,1.171
0.506,1.064
-0.163,0.938
-1.114,-0.61
1.99,1.367
-1.557,-1.412
-1.033,-0.726
-0.195,0.531
-2.534,-1.977
